strategy,dataset,dropped_cell
fixed_300s,MATR,MATR_b3c10
fixed_300s,MATR,MATR_b3c11
fixed_300s,MATR,MATR_b3c12
fixed_300s,MATR,MATR_b3c13
fixed_300s,MATR,MATR_b3c14
fixed_300s,MATR,MATR_b3c15
fixed_300s,MATR,MATR_b3c16
fixed_300s,MATR,MATR_b3c17
fixed_300s,MATR,MATR_b3c18
fixed_300s,MATR,MATR_b3c19
fixed_300s,MATR,MATR_b3c20
fixed_300s,MATR,MATR_b3c21
fixed_300s,MATR,MATR_b3c22
fixed_300s,MATR,MATR_b3c24
fixed_300s,MATR,MATR_b3c25
fixed_300s,MATR,MATR_b3c26
fixed_300s,MATR,MATR_b3c27
fixed_300s,MATR,MATR_b3c28
fixed_300s,MATR,MATR_b3c29
fixed_300s,MATR,MATR_b3c3
fixed_300s,MATR,MATR_b3c30
fixed_300s,MATR,MATR_b3c31
fixed_300s,MATR,MATR_b3c33
fixed_300s,MATR,MATR_b3c34
fixed_300s,MATR,MATR_b3c35
fixed_300s,MATR,MATR_b3c36
fixed_300s,MATR,MATR_b3c38
fixed_300s,MATR,MATR_b3c39
fixed_300s,MATR,MATR_b3c4
fixed_300s,MATR,MATR_b3c40
fixed_300s,MATR,MATR_b3c41
fixed_300s,MATR,MATR_b3c44
fixed_300s,MATR,MATR_b3c45
fixed_300s,MATR,MATR_b3c5
fixed_300s,MATR,MATR_b3c6
fixed_300s,MATR,MATR_b3c7
fixed_300s,MATR,MATR_b3c8
fixed_300s,MATR,MATR_b3c9
fixed_300s,MATR,MATR_b4c0
fixed_300s,MATR,MATR_b4c1
fixed_300s,MATR,MATR_b4c10
fixed_300s,MATR,MATR_b4c11
fixed_300s,MATR,MATR_b4c12
fixed_300s,MATR,MATR_b4c13
fixed_300s,MATR,MATR_b4c14
fixed_300s,MATR,MATR_b4c15
fixed_300s,MATR,MATR_b4c16
fixed_300s,MATR,MATR_b4c17
fixed_300s,MATR,MATR_b4c18
fixed_300s,MATR,MATR_b4c19
fixed_300s,MATR,MATR_b4c2
fixed_300s,MATR,MATR_b4c20
fixed_300s,MATR,MATR_b4c21
fixed_300s,MATR,MATR_b4c22
fixed_300s,MATR,MATR_b4c23
fixed_300s,MATR,MATR_b4c24
fixed_300s,MATR,MATR_b4c25
fixed_300s,MATR,MATR_b4c26
fixed_300s,MATR,MATR_b4c27
fixed_300s,MATR,MATR_b4c28
fixed_300s,MATR,MATR_b4c29
fixed_300s,MATR,MATR_b4c3
fixed_300s,MATR,MATR_b4c30
fixed_300s,MATR,MATR_b4c31
fixed_300s,MATR,MATR_b4c32
fixed_300s,MATR,MATR_b4c33
fixed_300s,MATR,MATR_b4c34
fixed_300s,MATR,MATR_b4c35
fixed_300s,MATR,MATR_b4c36
fixed_300s,MATR,MATR_b4c37
fixed_300s,MATR,MATR_b4c38
fixed_300s,MATR,MATR_b4c39
fixed_300s,MATR,MATR_b4c4
fixed_300s,MATR,MATR_b4c40
fixed_300s,MATR,MATR_b4c41
fixed_300s,MATR,MATR_b4c42
fixed_300s,MATR,MATR_b4c43
fixed_300s,MATR,MATR_b4c44
fixed_300s,MATR,MATR_b4c5
fixed_300s,MATR,MATR_b4c6
fixed_300s,MATR,MATR_b4c7
fixed_300s,MATR,MATR_b4c8
fixed_300s,MATR,MATR_b4c9
fixed_300s,SNL,SNL_18650_LFP_15C_0-100_0.5-2C_b
fixed_300s,SNL,SNL_18650_LFP_25C_0-100_0.5-0.5C_a
fixed_300s,SNL,SNL_18650_LFP_25C_0-100_0.5-1C_a
fixed_300s,SNL,SNL_18650_LFP_25C_0-100_0.5-1C_b
fixed_300s,SNL,SNL_18650_LFP_25C_0-100_0.5-1C_c
fixed_300s,SNL,SNL_18650_LFP_25C_0-100_0.5-1C_d
fixed_300s,SNL,SNL_18650_LFP_25C_0-100_0.5-2C_a
fixed_300s,SNL,SNL_18650_LFP_25C_0-100_0.5-2C_b
fixed_300s,SNL,SNL_18650_LFP_25C_0-100_0.5-3C_a
fixed_300s,SNL,SNL_18650_LFP_25C_0-100_0.5-3C_b
fixed_300s,SNL,SNL_18650_LFP_25C_0-100_0.5-3C_c
fixed_300s,SNL,SNL_18650_LFP_25C_0-100_0.5-3C_d
fixed_300s,SNL,SNL_18650_LFP_35C_0-100_0.5-1C_a
fixed_300s,SNL,SNL_18650_LFP_35C_0-100_0.5-1C_c
fixed_300s,SNL,SNL_18650_LFP_35C_0-100_0.5-1C_d
fixed_300s,SNL,SNL_18650_LFP_35C_0-100_0.5-2C_a
fixed_300s,SNL,SNL_18650_LFP_35C_0-100_0.5-2C_b
fixed_300s,SNL,SNL_18650_NCA_15C_0-100_0.5-1C_a
fixed_300s,SNL,SNL_18650_NCA_15C_0-100_0.5-1C_b
fixed_300s,SNL,SNL_18650_NCA_15C_0-100_0.5-2C_a
fixed_300s,SNL,SNL_18650_NCA_15C_0-100_0.5-2C_b
fixed_300s,SNL,SNL_18650_NCA_25C_0-100_0.5-0.5C_a
fixed_300s,SNL,SNL_18650_NCA_25C_0-100_0.5-0.5C_b
fixed_300s,SNL,SNL_18650_NCA_25C_0-100_0.5-1C_a
fixed_300s,SNL,SNL_18650_NCA_25C_0-100_0.5-1C_b
fixed_300s,SNL,SNL_18650_NCA_25C_0-100_0.5-1C_c
fixed_300s,SNL,SNL_18650_NCA_25C_0-100_0.5-1C_d
fixed_300s,SNL,SNL_18650_NCA_25C_0-100_0.5-2C_a
fixed_300s,SNL,SNL_18650_NCA_25C_0-100_0.5-2C_b
fixed_300s,SNL,SNL_18650_NCA_25C_20-80_0.5-0.5C_a
fixed_300s,SNL,SNL_18650_NCA_25C_20-80_0.5-0.5C_b
fixed_300s,SNL,SNL_18650_NCA_25C_20-80_0.5-0.5C_c
fixed_300s,SNL,SNL_18650_NCA_25C_20-80_0.5-0.5C_d
fixed_300s,SNL,SNL_18650_NCA_35C_0-100_0.5-1C_a
fixed_300s,SNL,SNL_18650_NCA_35C_0-100_0.5-1C_b
fixed_300s,SNL,SNL_18650_NCA_35C_0-100_0.5-1C_c
fixed_300s,SNL,SNL_18650_NCA_35C_0-100_0.5-1C_d
fixed_300s,SNL,SNL_18650_NCA_35C_0-100_0.5-2C_a
fixed_300s,SNL,SNL_18650_NCA_35C_0-100_0.5-2C_b
fixed_300s,SNL,SNL_18650_NMC_15C_0-100_0.5-1C_a
fixed_300s,SNL,SNL_18650_NMC_15C_0-100_0.5-1C_b
fixed_300s,SNL,SNL_18650_NMC_15C_0-100_0.5-2C_a
fixed_300s,SNL,SNL_18650_NMC_15C_0-100_0.5-2C_b
fixed_300s,SNL,SNL_18650_NMC_25C_0-100_0.5-0.5C_b
fixed_300s,SNL,SNL_18650_NMC_25C_0-100_0.5-1C_a
fixed_300s,SNL,SNL_18650_NMC_25C_0-100_0.5-1C_b
fixed_300s,SNL,SNL_18650_NMC_25C_0-100_0.5-1C_c
fixed_300s,SNL,SNL_18650_NMC_25C_0-100_0.5-1C_d
fixed_300s,SNL,SNL_18650_NMC_25C_0-100_0.5-2C_a
fixed_300s,SNL,SNL_18650_NMC_25C_0-100_0.5-2C_b
fixed_300s,SNL,SNL_18650_NMC_25C_0-100_0.5-3C_a
fixed_300s,SNL,SNL_18650_NMC_25C_0-100_0.5-3C_b
fixed_300s,SNL,SNL_18650_NMC_25C_0-100_0.5-3C_c
fixed_300s,SNL,SNL_18650_NMC_25C_0-100_0.5-3C_d
fixed_300s,SNL,SNL_18650_NMC_35C_0-100_0.5-1C_b
fixed_300s,Stanford,Stanford_Nova_Regular_191
fixed_300s,Stanford,Stanford_Nova_Regular_192
fixed_300s,Stanford,Stanford_Nova_Regular_193
fixed_300s,Stanford,Stanford_Nova_Regular_194
fixed_300s,Stanford,Stanford_Nova_Regular_195
fixed_300s,Stanford,Stanford_Nova_Regular_196
fixed_300s,Stanford,Stanford_Nova_Regular_198
fixed_300s,Stanford,Stanford_Nova_Regular_199
fixed_300s,Stanford,Stanford_Nova_Regular_201
fixed_300s,Stanford,Stanford_Nova_Regular_202
fixed_300s,Stanford,Stanford_Nova_Regular_203
fixed_300s,Stanford,Stanford_Nova_Regular_204
fixed_300s,Stanford,Stanford_Nova_Regular_205
fixed_300s,Stanford,Stanford_Nova_Regular_206
fixed_300s,Stanford,Stanford_Nova_Regular_207
fixed_300s,Stanford,Stanford_Nova_Regular_208
fixed_300s,Stanford,Stanford_Nova_Regular_209
fixed_300s,Stanford,Stanford_Nova_Regular_210
fixed_300s,Stanford,Stanford_Nova_Regular_211
fixed_300s,Stanford,Stanford_Nova_Regular_212
fixed_300s,Stanford,Stanford_Nova_Regular_213
fixed_300s,Stanford,Stanford_Nova_Regular_214
fixed_300s,Stanford,Stanford_Nova_Regular_216
fixed_300s,Stanford,Stanford_Nova_Regular_217
fixed_300s,Stanford,Stanford_Nova_Regular_219
fixed_300s,Stanford,Stanford_Nova_Regular_220
fixed_300s,Stanford,Stanford_Nova_Regular_221
fixed_300s,Stanford,Stanford_Nova_Regular_222
fixed_300s,Stanford,Stanford_Nova_Regular_223
fixed_300s,Stanford,Stanford_Nova_Regular_224
fixed_300s,Stanford,Stanford_Nova_Regular_225
fixed_300s,Stanford,Stanford_Nova_Regular_226
fixed_300s,Stanford,Stanford_Nova_Regular_227
fixed_300s,Stanford,Stanford_Nova_Regular_228
fixed_300s,Stanford,Stanford_Nova_Regular_229
fixed_300s,Stanford,Stanford_Nova_Regular_230
fixed_300s,Stanford,Stanford_Nova_Regular_Ref_100
fixed_300s,Stanford,Stanford_Nova_Regular_Ref_101
fixed_300s,Stanford,Stanford_Nova_Regular_Ref_102
fixed_300s,Stanford_2,Stanford_Nova_Regular_100
fixed_300s,Stanford_2,Stanford_Nova_Regular_101
fixed_300s,Stanford_2,Stanford_Nova_Regular_102
fixed_300s,Stanford_2,Stanford_Nova_Regular_103
fixed_300s,Stanford_2,Stanford_Nova_Regular_104
fixed_300s,Stanford_2,Stanford_Nova_Regular_105
fixed_300s,Stanford_2,Stanford_Nova_Regular_106
fixed_300s,Stanford_2,Stanford_Nova_Regular_107
fixed_300s,Stanford_2,Stanford_Nova_Regular_108
fixed_300s,Stanford_2,Stanford_Nova_Regular_109
fixed_300s,Stanford_2,Stanford_Nova_Regular_110
fixed_300s,Stanford_2,Stanford_Nova_Regular_112
fixed_300s,Stanford_2,Stanford_Nova_Regular_113
fixed_300s,Stanford_2,Stanford_Nova_Regular_114
fixed_300s,Stanford_2,Stanford_Nova_Regular_115
fixed_300s,Stanford_2,Stanford_Nova_Regular_116
fixed_300s,Stanford_2,Stanford_Nova_Regular_117
fixed_300s,Stanford_2,Stanford_Nova_Regular_118
fixed_300s,Stanford_2,Stanford_Nova_Regular_119
fixed_300s,Stanford_2,Stanford_Nova_Regular_120
fixed_300s,Stanford_2,Stanford_Nova_Regular_122
fixed_300s,Stanford_2,Stanford_Nova_Regular_123
fixed_300s,Stanford_2,Stanford_Nova_Regular_124
fixed_300s,Stanford_2,Stanford_Nova_Regular_125
fixed_300s,Stanford_2,Stanford_Nova_Regular_126
fixed_300s,Stanford_2,Stanford_Nova_Regular_127
fixed_300s,Stanford_2,Stanford_Nova_Regular_128
fixed_300s,Stanford_2,Stanford_Nova_Regular_129
fixed_300s,Stanford_2,Stanford_Nova_Regular_130
fixed_300s,Stanford_2,Stanford_Nova_Regular_131
fixed_300s,Stanford_2,Stanford_Nova_Regular_134
fixed_300s,Stanford_2,Stanford_Nova_Regular_135
fixed_300s,Stanford_2,Stanford_Nova_Regular_136
fixed_300s,Stanford_2,Stanford_Nova_Regular_137
fixed_300s,Stanford_2,Stanford_Nova_Regular_138
fixed_300s,Stanford_2,Stanford_Nova_Regular_139
fixed_300s,Stanford_2,Stanford_Nova_Regular_140
fixed_300s,Stanford_2,Stanford_Nova_Regular_141
fixed_300s,Stanford_2,Stanford_Nova_Regular_142
fixed_300s,Stanford_2,Stanford_Nova_Regular_143
fixed_300s,Stanford_2,Stanford_Nova_Regular_144
fixed_300s,Stanford_2,Stanford_Nova_Regular_145
fixed_300s,Stanford_2,Stanford_Nova_Regular_146
fixed_300s,Stanford_2,Stanford_Nova_Regular_147
fixed_300s,Stanford_2,Stanford_Nova_Regular_148
fixed_300s,Stanford_2,Stanford_Nova_Regular_149
fixed_300s,Stanford_2,Stanford_Nova_Regular_150
fixed_300s,Stanford_2,Stanford_Nova_Regular_151
fixed_300s,Stanford_2,Stanford_Nova_Regular_152
fixed_300s,Stanford_2,Stanford_Nova_Regular_154
fixed_300s,Stanford_2,Stanford_Nova_Regular_155
fixed_300s,Stanford_2,Stanford_Nova_Regular_156
fixed_300s,Stanford_2,Stanford_Nova_Regular_157
fixed_300s,Stanford_2,Stanford_Nova_Regular_158
fixed_300s,Stanford_2,Stanford_Nova_Regular_159
fixed_300s,Stanford_2,Stanford_Nova_Regular_160
fixed_300s,Stanford_2,Stanford_Nova_Regular_161
fixed_300s,Stanford_2,Stanford_Nova_Regular_162
fixed_300s,Stanford_2,Stanford_Nova_Regular_163
fixed_300s,Stanford_2,Stanford_Nova_Regular_165
fixed_300s,Stanford_2,Stanford_Nova_Regular_166
fixed_300s,Stanford_2,Stanford_Nova_Regular_167
fixed_300s,Stanford_2,Stanford_Nova_Regular_168
fixed_300s,Stanford_2,Stanford_Nova_Regular_169
fixed_300s,Stanford_2,Stanford_Nova_Regular_170
fixed_300s,Stanford_2,Stanford_Nova_Regular_171
fixed_300s,Stanford_2,Stanford_Nova_Regular_172
fixed_300s,Stanford_2,Stanford_Nova_Regular_173
fixed_300s,Stanford_2,Stanford_Nova_Regular_174
fixed_300s,Stanford_2,Stanford_Nova_Regular_175
fixed_300s,Stanford_2,Stanford_Nova_Regular_176
fixed_300s,Stanford_2,Stanford_Nova_Regular_177
fixed_300s,Stanford_2,Stanford_Nova_Regular_178
fixed_300s,Stanford_2,Stanford_Nova_Regular_179
fixed_300s,Stanford_2,Stanford_Nova_Regular_180
fixed_300s,Stanford_2,Stanford_Nova_Regular_181
fixed_300s,Stanford_2,Stanford_Nova_Regular_182
fixed_300s,Stanford_2,Stanford_Nova_Regular_183
fixed_300s,Stanford_2,Stanford_Nova_Regular_184
fixed_300s,Stanford_2,Stanford_Nova_Regular_185
fixed_300s,Stanford_2,Stanford_Nova_Regular_186
fixed_300s,Stanford_2,Stanford_Nova_Regular_187
fixed_300s,Stanford_2,Stanford_Nova_Regular_188
fixed_300s,Stanford_2,Stanford_Nova_Regular_189
fixed_300s,Stanford_2,Stanford_Nova_Regular_190
fixed_300s,Stanford_2,Stanford_Nova_Regular_191
fixed_300s,Stanford_2,Stanford_Nova_Regular_192
fixed_300s,Stanford_2,Stanford_Nova_Regular_193
fixed_300s,Stanford_2,Stanford_Nova_Regular_194
fixed_300s,Stanford_2,Stanford_Nova_Regular_195
fixed_300s,Stanford_2,Stanford_Nova_Regular_196
fixed_300s,Stanford_2,Stanford_Nova_Regular_198
fixed_300s,Stanford_2,Stanford_Nova_Regular_199
fixed_300s,Stanford_2,Stanford_Nova_Regular_201
fixed_300s,Stanford_2,Stanford_Nova_Regular_202
fixed_300s,Stanford_2,Stanford_Nova_Regular_203
fixed_300s,Stanford_2,Stanford_Nova_Regular_204
fixed_300s,Stanford_2,Stanford_Nova_Regular_205
fixed_300s,Stanford_2,Stanford_Nova_Regular_206
fixed_300s,Stanford_2,Stanford_Nova_Regular_207
fixed_300s,Stanford_2,Stanford_Nova_Regular_208
fixed_300s,Stanford_2,Stanford_Nova_Regular_209
fixed_300s,Stanford_2,Stanford_Nova_Regular_210
fixed_300s,Stanford_2,Stanford_Nova_Regular_211
fixed_300s,Stanford_2,Stanford_Nova_Regular_212
fixed_300s,Stanford_2,Stanford_Nova_Regular_213
fixed_300s,Stanford_2,Stanford_Nova_Regular_214
fixed_300s,Stanford_2,Stanford_Nova_Regular_216
fixed_300s,Stanford_2,Stanford_Nova_Regular_217
fixed_300s,Stanford_2,Stanford_Nova_Regular_219
fixed_300s,Stanford_2,Stanford_Nova_Regular_220
fixed_300s,Stanford_2,Stanford_Nova_Regular_221
fixed_300s,Stanford_2,Stanford_Nova_Regular_222
fixed_300s,Stanford_2,Stanford_Nova_Regular_223
fixed_300s,Stanford_2,Stanford_Nova_Regular_224
fixed_300s,Stanford_2,Stanford_Nova_Regular_225
fixed_300s,Stanford_2,Stanford_Nova_Regular_226
fixed_300s,Stanford_2,Stanford_Nova_Regular_227
fixed_300s,Stanford_2,Stanford_Nova_Regular_228
fixed_300s,Stanford_2,Stanford_Nova_Regular_229
fixed_300s,Stanford_2,Stanford_Nova_Regular_230
fixed_300s,Stanford_2,Stanford_Nova_Regular_269
fixed_300s,Stanford_2,Stanford_Nova_Regular_270
fixed_300s,Stanford_2,Stanford_Nova_Regular_271
fixed_300s,Stanford_2,Stanford_Nova_Regular_272
fixed_300s,Stanford_2,Stanford_Nova_Regular_273
fixed_300s,Stanford_2,Stanford_Nova_Regular_274
fixed_300s,Stanford_2,Stanford_Nova_Regular_275
fixed_300s,Stanford_2,Stanford_Nova_Regular_276
fixed_300s,Stanford_2,Stanford_Nova_Regular_277
fixed_300s,Stanford_2,Stanford_Nova_Regular_278
fixed_300s,Stanford_2,Stanford_Nova_Regular_279
fixed_300s,Stanford_2,Stanford_Nova_Regular_280
fixed_300s,Stanford_2,Stanford_Nova_Regular_281
fixed_300s,Stanford_2,Stanford_Nova_Regular_282
fixed_300s,Stanford_2,Stanford_Nova_Regular_283
fixed_300s,Stanford_2,Stanford_Nova_Regular_284
fixed_300s,Stanford_2,Stanford_Nova_Regular_285
fixed_300s,Stanford_2,Stanford_Nova_Regular_286
fixed_300s,Stanford_2,Stanford_Nova_Regular_287
fixed_300s,Stanford_2,Stanford_Nova_Regular_288
fixed_300s,Stanford_2,Stanford_Nova_Regular_289
fixed_300s,Stanford_2,Stanford_Nova_Regular_290
fixed_300s,Stanford_2,Stanford_Nova_Regular_291
fixed_300s,Stanford_2,Stanford_Nova_Regular_292
fixed_300s,Stanford_2,Stanford_Nova_Regular_293
fixed_300s,Stanford_2,Stanford_Nova_Regular_294
fixed_300s,Stanford_2,Stanford_Nova_Regular_295
fixed_300s,Stanford_2,Stanford_Nova_Regular_296
fixed_300s,Stanford_2,Stanford_Nova_Regular_297
fixed_300s,Stanford_2,Stanford_Nova_Regular_299
fixed_300s,Stanford_2,Stanford_Nova_Regular_300
fixed_300s,Stanford_2,Stanford_Nova_Regular_301
fixed_300s,Stanford_2,Stanford_Nova_Regular_302
fixed_300s,Stanford_2,Stanford_Nova_Regular_303
fixed_300s,Stanford_2,Stanford_Nova_Regular_304
fixed_300s,Stanford_2,Stanford_Nova_Regular_305
fixed_300s,Stanford_2,Stanford_Nova_Regular_306
fixed_300s,Stanford_2,Stanford_Nova_Regular_307
fixed_300s,Stanford_2,Stanford_Nova_Regular_308
fixed_300s,Stanford_2,Stanford_Nova_Regular_309
fixed_300s,Stanford_2,Stanford_Nova_Regular_310
fixed_300s,Stanford_2,Stanford_Nova_Regular_311
fixed_300s,Stanford_2,Stanford_Nova_Regular_312
fixed_300s,Stanford_2,Stanford_Nova_Regular_313
fixed_300s,Stanford_2,Stanford_Nova_Regular_314
fixed_300s,Stanford_2,Stanford_Nova_Regular_315
fixed_300s,Stanford_2,Stanford_Nova_Regular_316
fixed_300s,Stanford_2,Stanford_Nova_Regular_317
fixed_300s,Stanford_2,Stanford_Nova_Regular_318
fixed_300s,Stanford_2,Stanford_Nova_Regular_319
fixed_300s,Stanford_2,Stanford_Nova_Regular_320
fixed_300s,Stanford_2,Stanford_Nova_Regular_321
fixed_300s,Stanford_2,Stanford_Nova_Regular_323
fixed_300s,Stanford_2,Stanford_Nova_Regular_324
fixed_300s,Stanford_2,Stanford_Nova_Regular_325
fixed_300s,Stanford_2,Stanford_Nova_Regular_326
fixed_600s,SNL,SNL_18650_LFP_15C_0-100_0.5-2C_b
fixed_600s,SNL,SNL_18650_LFP_25C_0-100_0.5-0.5C_a
fixed_600s,SNL,SNL_18650_LFP_25C_0-100_0.5-1C_a
fixed_600s,SNL,SNL_18650_LFP_25C_0-100_0.5-1C_b
fixed_600s,SNL,SNL_18650_LFP_25C_0-100_0.5-1C_c
fixed_600s,SNL,SNL_18650_LFP_25C_0-100_0.5-1C_d
fixed_600s,SNL,SNL_18650_LFP_25C_0-100_0.5-2C_a
fixed_600s,SNL,SNL_18650_LFP_25C_0-100_0.5-2C_b
fixed_600s,SNL,SNL_18650_LFP_25C_0-100_0.5-3C_a
fixed_600s,SNL,SNL_18650_LFP_25C_0-100_0.5-3C_b
fixed_600s,SNL,SNL_18650_LFP_25C_0-100_0.5-3C_c
